Filename                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
build/coverage/deps/Catch2/src/src/catch2/internal/catch_context.cpp                                 8                 0   100.00%           6                 0   100.00%          19                 0   100.00%           2                 0   100.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_context.hpp                                 5                 1    80.00%           3                 0   100.00%           6                 0   100.00%           2                 1    50.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_debug_console.cpp                           1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_debugger.cpp                                8                 8     0.00%           1                 1     0.00%          11                11     0.00%           8                 8     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_debugger.hpp                                4                 4     0.00%           1                 1     0.00%           1                 1     0.00%           2                 2     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_decomposer.cpp                              9                 8    11.11%           2                 1    50.00%           9                 8    11.11%           6                 6     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_decomposer.hpp                              3                 2    33.33%           3                 2    33.33%           6                 5    16.67%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_enforce.cpp                                 3                 3     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_enforce.hpp                                 1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_enum_values_registry.cpp                   26                25     3.85%           7                 6    14.29%          40                39     2.50%          14                14     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_errno_guard.cpp                             4                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_exception_translator_registry.cpp          18                17     5.56%           4                 3    25.00%          39                37     5.13%           4                 4     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_fatal_condition_handler.cpp                33                10    69.70%           7                 2    71.43%          47                15    68.09%          14                 7    50.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_fatal_condition_handler.hpp                27                10    62.96%           4                 0   100.00%          16                 0   100.00%           8                 4    50.00%
